Customer_ID,Age,Gender,City,Income,Purchase_Amount,Product_Category,Payment_Method,Order_Status,Order_Date,Delivery_Time_Days,Discount_Applied,Rating,Return_Status,Customer_Segment,Region,Sales_Channel,Loyalty_Points,Coupon_Used,Shipping_Cost,Profit
1,62,Female,Mumbai,36201,871,Electronics,UPI,Cancelled,2023-01-01 00:00:00,5,1,4,Returned,VIP,North,Online,890,1,125,1073
2,55,Male,Bangalore,64608,1313,Electronics,UPI,Completed,2023-01-01 01:00:00,6,0,3,Returned,VIP,South,Online,813,0,130,-242
3,45,Female,Mumbai,95647,1263,Grocery,Cash,Pending,2023-01-01 02:00:00,7,0,5,Not Returned,Regular,West,Online,529,0,134,499
4,34,Male,Hyderabad,146545,4986,Grocery,UPI,Completed,2023-01-01 03:00:00,7,0,3,Returned,Premium,South,Offline,198,0,248,-438
5,62,Female,Mumbai,24258,4741,Grocery,UPI,Completed,2023-01-01 04:00:00,6,0,2,Not Returned,Premium,East,Online,948,0,249,1150
6,56,Female,Bangalore,69702,378,Electronics,Cash,Cancelled,2023-01-01 05:00:00,9,1,5,Returned,Premium,East,Online,515,1,50,1826
7,60,Male,Bangalore,118693,2345,Furniture,UPI,Cancelled,2023-01-01 06:00:00,5,0,5,Returned,Premium,South,Online,884,1,140,-251
8,40,Female,Bangalore,143041,2922,Grocery,UPI,Completed,2023-01-01 07:00:00,4,1,2,Returned,Regular,North,Online,849,1,191,-301
9,21,Male,Hyderabad,120071,3330,Furniture,Cash,Cancelled,2023-01-01 08:00:00,4,1,3,Not Returned,Premium,East,Offline,238,0,210,-47
10,27,Female,Chennai,20156,532,Electronics,Card,Pending,2023-01-01 09:00:00,4,0,5,Returned,Premium,East,Online,576,1,97,1591
11,69,Female,Hyderabad,92737,4003,Grocery,Card,Completed,2023-01-01 10:00:00,4,0,4,Returned,Premium,East,Offline,233,0,80,761
12,65,Female,Bangalore,63065,4451,Electronics,UPI,Pending,2023-01-01 11:00:00,4,0,2,Returned,Premium,South,Online,614,0,82,53
